Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
1000,3.6112921,29.558823529411764,-2.3410048,-57.54848746097449,-57.54848746097449,2561.8457,0.23050518,0.0002996865,0.1998955,0.000499488,1.0
2000,3.3944936,25.77777777777778,-12.408115,-37.64722363154093,-37.64722363154093,1593.4644,0.24032182,0.00029910935,0.19970311,0.0004985453,1.0
3000,3.0662284,27.0,-19.587027,-23.15277952618069,-23.15277952618069,1742.7876,0.23609334,0.00029850102,0.19950034,0.00049755163,1.0
4000,2.6588905,30.40625,-9.591219,-25.753126978874207,-25.753126978874207,1115.0968,0.23744933,0.00029790803,0.19930267,0.0004965831,1.0
5000,2.6829078,30.84375,-6.9642506,-28.134376257658005,-28.134376257658005,1537.9397,0.24399781,0.00029730482,0.19910161,0.0004955979,1.0
6000,2.2118075,30.903225806451612,-0.54997945,-15.932258913593907,-15.932258913593907,969.5155,0.24509624,0.00029669725,0.19889909,0.00049460545,1.0
7000,2.017075,30.15625,5.4241486,-5.28125137090683,-5.28125137090683,1444.2415,0.24030556,0.00029607583,0.19869195,0.0004935905,1.0
8000,1.7437686,25.486486486486488,4.7676997,-10.735136444504196,-10.735136444504196,1313.036,0.23553409,0.000295475,0.19849165,0.00049260916,1.0
9000,1.4098183,31.29032258064516,5.693246,-8.680646711780179,-8.680646711780179,857.1474,0.25079054,0.00029490713,0.19830236,0.0004916817,1.0
10000,1.286944,30.5625,8.84765,-13.134375929832458,-13.134375929832458,973.5649,0.25209546,0.00029431802,0.19810599,0.0004907194,1.0
11000,1.1769618,32.8,11.4757805,-7.590003395080567,-7.590003395080567,1519.2584,0.23242767,0.00029367965,0.1978932,0.0004896766,1.0
12000,1.4162157,30.64516129032258,7.9484143,-9.722581678821195,-9.722581678821195,1026.3472,0.23999588,0.000293082,0.197694,0.00048870064,1.0
13000,1.2019582,22.952380952380953,2.977232,-32.75476283118839,-32.75476283118839,1811.2224,0.25969476,0.0002924786,0.19749287,0.00048771506,1.0
14000,1.0476152,23.11904761904762,-16.636759,-29.400001162574405,-29.400001162574405,1361.4927,0.24143067,0.00029190633,0.1973021,0.00048678025,1.0
